Date : 2022-06-27 17:08:47
Directory : d:\工作\软工实验\sep\SE-Project-Front\src\pages
Total : 283 files,  25721 codes, 1290 comments, 1685 blanks, all 28696 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
| testingTable                                                                                             |          2 |        404 |          9 |         18 |        431 |
| testingTable\components                                                                                  |          1 |          0 |          0 |          1 |          1 |
| user                                                                                                     |          8 |        716 |          3 |         66 |        785 |
| user\Login                                                                                               |          2 |        313 |          2 |         25 |        340 |
| user\register                                                                                            |          4 |        347 |          1 |         37 |        385 |
| user\register-result                                                                                     |          2 |         56 |          0 |          4 |         60 |
+----------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+----------------------------------------------------------------------------------------------------------+------------------+------------+------------+------------+------------+
| filename                                                                                                 | language         | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------------+------------------+------------+------------+------------+------------+
| d:\工作\软工实验\sep\SE-Project-Front\src\pages\404.jsx                                                        | JavaScript React |         16 |          0 |          3 |         19 |
| d:\工作\软工实验\sep\SE-Project-Front\src\pages\Admin.jsx                                                      | JavaScript React |         52 |          0 |          1 |         53 |
| d:\工作\软工实验\sep\SE-Project-Front\src\pages\Assign.js                                                      | JavaScript       |        109 |          4 |          8 |        121 |
| d:\工作\软工实验\sep\SE-Project-Front\src\pages\Attachment.js                                                  | JavaScript       |         38 |          0 |          6 |         44 |
| d:\工作\软工实验\sep\SE-Project-Front\src\pages\Contract.css                                                   | CSS              |          4 |          0 |          1 |          5 |
| d:\工作\软工实验\sep\SE-Project-Front\src\pages\Contract.js                                                    | JavaScript       |         48 |          0 |          6 |         54 |
| d:\工作\软工实验\sep\SE-Project-Front\src\pages\ContractDisplay.js                                             | JavaScript       |        119 |         17 |         11 |        147 |
| d:\工作\软工实验\sep\SE-Project-Front\src\pages\ContractFill.css                                               | CSS              |         64 |          0 |         10 |         74 |
| d:\工作\软工实验\sep\SE-Project-Front\src\pages\ContractFill.js                                                | JavaScript       |        283 |        549 |          8 |        840 |
| d:\工作\软工实验\sep\SE-Project-Front\src\pages\ContractUpload.js                                              | JavaScript       |         30 |          0 |          3 |         33 |
| d:\工作\软工实验\sep\SE-Project-Front\src\pages\ContractVerify.js                                              | JavaScript       |        230 |         55 |          9 |        294 |
| d:\工作\软工实验\sep\SE-Project-Front\src\pages\DocumentVerify.js                                              | JavaScript       |        644 |          1 |          7 |        652 |
| d:\工作\软工实验\sep\SE-Project-Front\src\pages\EntrustmentDisplay.js                                          | JavaScript       |        591 |          7 |          4 |        602 |
| d:\工作\软工实验\sep\SE-Project-Front\src\pages\EntrustmentFill.js                                             | JavaScript       |        607 |          8 |          5 |        620 |
| d:\工作\软工实验\sep\SE-Project-Front\src\pages\EntrustmentList.js                                             | JavaScript       |        154 |          3 |          9 |        166 |
| d:\工作\软工实验\sep\SE-Project-Front\src\pages\EntrustmentVerify.js                                           | JavaScript       |        750 |         11 |          8 |        769 |
| d:\工作\软工实验\sep\SE-Project-Front\src\pages\Form.js                                                        | JavaScript       |         20 |          0 |          1 |         21 |
| d:\工作\软工实验\sep\SE-Project-Front\src\pages\FormFill.css                                                   | CSS              |         33 |          0 |          6 |         39 |
| d:\工作\软工实验\sep\SE-Project-Front\src\pages\FormFill.js                                                    | JavaScript       |        102 |         15 |         12 |        129 |
| d:\工作\软工实验\sep\SE-Project-Front\src\pages\Home.js                                                        | JavaScript       |         28 |         10 |          2 |         40 |
| d:\工作\软工实验\sep\SE-Project-Front\src\pages\JS012.js                                                       | JavaScript       |        246 |          5 |          4 |        255 |
| d:\工作\软工实验\sep\SE-Project-Front\src\pages\OurLogin.css                                                   | CSS              |          6 |          7 |          2 |         15 |
| d:\工作\软工实验\sep\SE-Project-Front\src\pages\OurLogin.js                                                    | JavaScript       |        142 |          9 |         15 |        166 |
| d:\工作\软工实验\sep\SE-Project-Front\src\pages\Progress.js                                                    | JavaScript       |        761 |         32 |         23 |        816 |
| d:\工作\软工实验\sep\SE-Project-Front\src\pages\QuotationFill.css                                              | CSS              |         64 |          0 |         10 |         74 |
| d:\工作\软工实验\sep\SE-Project-Front\src\pages\QuotationFill.js                                               | JavaScript       |        222 |        396 |          4 |        622 |
| d:\工作\软工实验\sep\SE-Project-Front\src\pages\Sample.js                                                      | JavaScript       |         11 |          1 |          1 |         13 |
| d:\工作\软工实验\sep\SE-Project-Front\src\pages\Search.js                                                      | JavaScript       |         11 |          0 |          1 |         12 |
| d:\工作\软工实验\sep\SE-Project-Front\src\pages\SignUp.js                                                      | JavaScript       |        186 |          4 |         18 |        208 |
| d:\工作\软工实验\sep\SE-Project-Front\src\pages\TableList\components\UpdateForm.jsx                            | JavaScript React |        194 |          0 |          3 |        197 |
| d:\工作\软工实验\sep\SE-Project-Front\src\pages\TableList\index.jsx                                            | JavaScript React |        355 |         29 |         20 |        404 |
| d:\工作\软工实验\sep\SE-Project-Front\src\pages\TestAssign.js                                                  | JavaScript       |        106 |          3 |         11 |        120 |
| d:\工作\软工实验\sep\SE-Project-Front\src\pages\TestList.js                                                    | JavaScript       |        171 |          3 |          6 |        180 |
| d:\工作\软工实验\sep\SE-Project-Front\src\pages\TestVerify.js                                                  | JavaScript       |        269 |          0 |          7 |        276 |
| d:\工作\软工实验\sep\SE-Project-Front\src\pages\UserInfo.js                                                    | JavaScript       |        316 |          2 |         27 |        345 |
| d:\工作\软工实验\sep\SE-Project-Front\src\pages\Welcome.jsx                                                    | JavaScript React |         61 |          0 |          3 |         64 |
| d:\工作\软工实验\sep\SE-Project-Front\src\pages\Welcome.less                                                   | Less             |          7 |          0 |          2 |          9 |
| d:\工作\软工实验\sep\SE-Project-Front\src\pages\account\center\Center.less                                     | Less             |         74 |          0 |         13 |         87 |
| d:\工作\软工实验\sep\SE-Project-Front\src\pages\account\center\_mock.js                                        | JavaScript       |        222 |          2 |          8 |        232 |
| d:\工作\软工实验\sep\SE-Project-Front\src\pages\account\center\components\Applications\index.jsx               | JavaScript React |        123 |          1 |          7 |        131 |
| d:\工作\软工实验\sep\SE-Project-Front\src\pages\account\center\components\Applications\index.less              | Less             |         48 |          1 |          3 |         52 |
| d:\工作\软工实验\sep\SE-Project-Front\src\pages\account\center\components\ArticleListContent\index.jsx         | JavaScript React |         15 |          0 |          3 |         18 |
| d:\工作\软工实验\sep\SE-Project-Front\src\pages\account\center\components\ArticleListContent\index.less        | Less             |         36 |          0 |          3 |         39 |
| d:\工作\软工实验\sep\SE-Project-Front\src\pages\account\center\components\Articles\index.jsx                   | JavaScript React |         55 |          0 |          4 |         59 |
| d:\工作\软工实验\sep\SE-Project-Front\src\pages\account\center\components\Articles\index.less                  | Less             |         11 |          0 |          2 |         13 |
| d:\工作\软工实验\sep\SE-Project-Front\src\pages\account\center\components\AvatarList\index.jsx                 | JavaScript React |         55 |          0 |          7 |         62 |
| d:\工作\软工实验\sep\SE-Project-Front\src\pages\account\center\components\AvatarList\index.less                | Less             |         44 |          0 |          7 |         51 |
| d:\工作\软工实验\sep\SE-Project-Front\src\pages\account\center\components\Projects\index.jsx                   | JavaScript React |         52 |          1 |          3 |         56 |
| d:\工作\软工实验\sep\SE-Project-Front\src\pages\account\center\components\Projects\index.less                  | Less             |         50 |          0 |          5 |         55 |
| d:\工作\软工实验\sep\SE-Project-Front\src\pages\account\center\index.jsx                                       | JavaScript React |        246 |          1 |         18 |        265 |
| d:\工作\软工实验\sep\SE-Project-Front\src\pages\account\center\service.js                                      | JavaScript       |          9 |          0 |          1 |         10 |
| d:\工作\软工实验\sep\SE-Project-Front\src\pages\account\settings\_mock.js                                      | JavaScript       |         71 |          2 |          6 |         79 |
| d:\工作\软工实验\sep\SE-Project-Front\src\pages\account\settings\components\BaseView.less                      | Less             |         59 |          0 |          7 |         66 |
| d:\工作\软工实验\sep\SE-Project-Front\src\pages\account\settings\components\PhoneView.jsx                      | JavaScript React |         33 |          0 |          5 |         38 |
| d:\工作\软工实验\sep\SE-Project-Front\src\pages\account\settings\components\base.jsx                           | JavaScript React |        225 |          0 |         14 |        239 |
| d:\工作\软工实验\sep\SE-Project-Front\src\pages\account\settings\components\binding.jsx                        | JavaScript React |         43 |          0 |          4 |         47 |
| d:\工作\软工实验\sep\SE-Project-Front\src\pages\account\settings\components\notification.jsx                   | JavaScript React |         39 |          0 |          4 |         43 |
| d:\工作\软工实验\sep\SE-Project-Front\src\pages\account\settings\components\security.jsx                       | JavaScript React |         56 |          0 |          4 |         60 |
| d:\工作\软工实验\sep\SE-Project-Front\src\pages\account\settings\geographic\city.json                          | JSON             |      1,784 |          0 |          1 |      1,785 |
| d:\工作\软工实验\sep\SE-Project-Front\src\pages\account\settings\geographic\province.json                      | JSON             |        138 |          0 |          1 |        139 |
| d:\工作\软工实验\sep\SE-Project-Front\src\pages\account\settings\index.jsx                                     | JavaScript React |         94 |          0 |         18 |        112 |
| d:\工作\软工实验\sep\SE-Project-Front\src\pages\account\settings\service.js                                    | JavaScript       |         13 |          0 |          1 |         14 |
| d:\工作\软工实验\sep\SE-Project-Front\src\pages\account\settings\style.less                                    | Less             |         88 |          2 |          4 |         94 |
| d:\工作\软工实验\sep\SE-Project-Front\src\pages\dashboard\analysis\_mock.js                                    | JavaScript       |        195 |          1 |         15 |        211 |
| d:\工作\软工实验\sep\SE-Project-Front\src\pages\dashboard\analysis\components\Charts\Bar\index.jsx             | JavaScript React |        114 |          0 |         11 |        125 |
| d:\工作\软工实验\sep\SE-Project-Front\src\pages\dashboard\analysis\components\Charts\ChartCard\index.jsx       | JavaScript React |         91 |          0 |         12 |        103 |
| d:\工作\软工实验\sep\SE-Project-Front\src\pages\dashboard\analysis\components\Charts\ChartCard\index.less      | Less             |         74 |          0 |          2 |         76 |
| d:\工作\软工实验\sep\SE-Project-Front\src\pages\dashboard\analysis\components\Charts\Field\index.jsx           | JavaScript React |          9 |          0 |          3 |         12 |
| d:\工作\软工实验\sep\SE-Project-Front\src\pages\dashboard\analysis\components\Charts\Field\index.less          | Less             |         16 |          0 |          2 |         18 |
| d:\工作\软工实验\sep\SE-Project-Front\src\pages\dashboard\analysis\components\Charts\Gauge\index.jsx           | JavaScript React |        161 |          0 |         11 |        172 |
| d:\工作\软工实验\sep\SE-Project-Front\src\pages\dashboard\analysis\components\Charts\MiniArea\index.jsx        | JavaScript React |        110 |          0 |          3 |        113 |
| d:\工作\软工实验\sep\SE-Project-Front\src\pages\dashboard\analysis\components\Charts\MiniBar\index.jsx         | JavaScript React |         40 |          0 |          4 |         44 |
| d:\工作\软工实验\sep\SE-Project-Front\src\pages\dashboard\analysis\components\Charts\MiniProgress\index.jsx    | JavaScript React |         43 |          0 |          3 |         46 |
| d:\工作\软工实验\sep\SE-Project-Front\src\pages\dashboard\analysis\components\Charts\Pie\index.jsx             | JavaScript React |        241 |          4 |         26 |        271 |
| d:\工作\软工实验\sep\SE-Project-Front\src\pages\dashboard\analysis\components\Charts\TagCloud\index.jsx        | JavaScript React |        165 |          5 |         20 |        190 |
| d:\工作\软工实验\sep\SE-Project-Front\src\pages\dashboard\analysis\components\Charts\TimelineChart\index.jsx   | JavaScript React |        127 |          2 |          8 |        137 |
| d:\工作\软工实验\sep\SE-Project-Front\src\pages\dashboard\analysis\components\Charts\WaterWave\index.jsx       | JavaScript React |        207 |          4 |         35 |        246 |
| d:\工作\软工实验\sep\SE-Project-Front\src\pages\dashboard\analysis\components\Charts\autoHeight.jsx            | JavaScript React |         62 |          0 |         14 |         76 |
| d:\工作\软工实验\sep\SE-Project-Front\src\pages\dashboard\analysis\components\Charts\index.jsx                 | JavaScript React |         10 |          0 |          3 |         13 |
| d:\工作\软工实验\sep\SE-Project-Front\src\pages\dashboard\analysis\components\Charts\index.less                | Less             |         19 |          0 |          1 |         20 |
| d:\工作\软工实验\sep\SE-Project-Front\src\pages\dashboard\analysis\components\IntroduceRow.jsx                 | JavaScript React |        146 |          0 |          4 |        150 |
| d:\工作\软工实验\sep\SE-Project-Front\src\pages\dashboard\analysis\components\NumberInfo\index.jsx             | JavaScript React |         48 |          0 |          3 |         51 |
| d:\工作\软工实验\sep\SE-Project-Front\src\pages\dashboard\analysis\components\NumberInfo\index.less            | Less             |         67 |          0 |          2 |         69 |
| d:\工作\软工实验\sep\SE-Project-Front\src\pages\dashboard\analysis\components\OfflineData.jsx                  | JavaScript React |         74 |          0 |          5 |         79 |
| d:\工作\软工实验\sep\SE-Project-Front\src\pages\dashboard\analysis\components\PageLoading\index.jsx            | JavaScript React |         11 |          1 |          2 |         14 |
| d:\工作\软工实验\sep\SE-Project-Front\src\pages\dashboard\analysis\components\ProportionSales.jsx              | JavaScript React |         61 |          1 |          3 |         65 |
| d:\工作\软工实验\sep\SE-Project-Front\src\pages\dashboard\analysis\components\SalesCard.jsx                    | JavaScript React |        181 |          0 |          4 |        185 |
| d:\工作\软工实验\sep\SE-Project-Front\src\pages\dashboard\analysis\components\TopSearch.jsx                    | JavaScript React |        126 |          0 |          3 |        129 |
| d:\工作\软工实验\sep\SE-Project-Front\src\pages\dashboard\analysis\components\Trend\index.jsx                  | JavaScript React |         25 |          0 |          3 |         28 |
| d:\工作\软工实验\sep\SE-Project-Front\src\pages\dashboard\analysis\components\Trend\index.less                 | Less             |         33 |          0 |          5 |         38 |
| d:\工作\软工实验\sep\SE-Project-Front\src\pages\dashboard\analysis\index.jsx                                   | JavaScript React |        128 |          0 |         20 |        148 |
| d:\工作\软工实验\sep\SE-Project-Front\src\pages\dashboard\analysis\service.js                                  | JavaScript       |          4 |          0 |          1 |          5 |
| d:\工作\软工实验\sep\SE-Project-Front\src\pages\dashboard\analysis\style.less                                  | Less             |        175 |          0 |         15 |        190 |
| d:\工作\软工实验\sep\SE-Project-Front\src\pages\dashboard\analysis\utils\Yuan.jsx                              | JavaScript React |         26 |          1 |          7 |         34 |
| d:\工作\软工实验\sep\SE-Project-Front\src\pages\dashboard\analysis\utils\utils.js                              | JavaScript       |         39 |          0 |          8 |         47 |
| d:\工作\软工实验\sep\SE-Project-Front\src\pages\dashboard\analysis\utils\utils.less                            | Less             |         46 |          2 |          3 |         51 |
| d:\工作\软工实验\sep\SE-Project-Front\src\pages\dashboard\monitor\_mock.js                                     | JavaScript       |         17 |          0 |          3 |         20 |
| d:\工作\软工实验\sep\SE-Project-Front\src\pages\dashboard\monitor\components\ActiveChart\index.jsx             | JavaScript React |         83 |          0 |         11 |         94 |
| d:\工作\软工实验\sep\SE-Project-Front\src\pages\dashboard\monitor\components\ActiveChart\index.less            | Less             |         49 |          0 |          3 |         52 |
| d:\工作\软工实验\sep\SE-Project-Front\src\pages\dashboard\monitor\components\Charts\Gauge\index.jsx            | JavaScript React |        161 |          0 |         11 |        172 |
| d:\工作\软工实验\sep\SE-Project-Front\src\pages\dashboard\monitor\components\Charts\MiniArea\index.jsx         | JavaScript React |        110 |          0 |          3 |        113 |
| d:\工作\软工实验\sep\SE-Project-Front\src\pages\dashboard\monitor\components\Charts\Pie\index.jsx              | JavaScript React |        241 |          4 |         27 |        272 |
| d:\工作\软工实验\sep\SE-Project-Front\src\pages\dashboard\monitor\components\Charts\TagCloud\index.jsx         | JavaScript React |        165 |          5 |         20 |        190 |
| d:\工作\软工实验\sep\SE-Project-Front\src\pages\dashboard\monitor\components\Charts\WaterWave\index.jsx        | JavaScript React |        207 |          4 |         35 |        246 |
| d:\工作\软工实验\sep\SE-Project-Front\src\pages\dashboard\monitor\components\Charts\autoHeight.jsx             | JavaScript React |         62 |          0 |         14 |         76 |
| d:\工作\软工实验\sep\SE-Project-Front\src\pages\dashboard\monitor\components\Map\index.jsx                     | JavaScript React |        142 |          0 |          3 |        145 |
| d:\工作\软工实验\sep\SE-Project-Front\src\pages\dashboard\monitor\index.jsx                                    | JavaScript React |        186 |          9 |          3 |        198 |
| d:\工作\软工实验\sep\SE-Project-Front\src\pages\dashboard\monitor\service.js                                   | JavaScript       |          4 |          0 |          1 |          5 |
| d:\工作\软工实验\sep\SE-Project-Front\src\pages\dashboard\monitor\style.less                                   | Less             |         18 |          0 |          4 |         22 |
| d:\工作\软工实验\sep\SE-Project-Front\src\pages\dashboard\workplace\_mock.js                                   | JavaScript       |        392 |          1 |         18 |        411 |
| d:\工作\软工实验\sep\SE-Project-Front\src\pages\dashboard\workplace\components\EditableLinkGroup\index.jsx     | JavaScript React |         31 |          0 |          3 |         34 |
| d:\工作\软工实验\sep\SE-Project-Front\src\pages\dashboard\workplace\components\EditableLinkGroup\index.less    | Less             |         15 |          0 |          2 |         17 |
| d:\工作\软工实验\sep\SE-Project-Front\src\pages\dashboard\workplace\components\Radar\autoHeight.jsx            | JavaScript React |         62 |          0 |         14 |         76 |
| d:\工作\软工实验\sep\SE-Project-Front\src\pages\dashboard\workplace\components\Radar\index.jsx                 | JavaScript React |        166 |          2 |         13 |        181 |
| d:\工作\软工实验\sep\SE-Project-Front\src\pages\dashboard\workplace\index.jsx                                  | JavaScript React |        260 |          0 |         10 |        270 |
| d:\工作\软工实验\sep\SE-Project-Front\src\pages\dashboard\workplace\service.js                                 | JavaScript       |         10 |          0 |          1 |         11 |
| d:\工作\软工实验\sep\SE-Project-Front\src\pages\dashboard\workplace\style.less                                 | Less             |        234 |          2 |         15 |        251 |
| d:\工作\软工实验\sep\SE-Project-Front\src\pages\document.ejs                                                   | HTML             |        220 |          0 |         16 |        236 |
| d:\工作\软工实验\sep\SE-Project-Front\src\pages\editor\flow\common\IconFont\index.js                           | JavaScript       |          5 |          0 |          1 |          6 |
| d:\工作\软工实验\sep\SE-Project-Front\src\pages\editor\flow\components\EditorContextMenu\FlowContextMenu.jsx   | JavaScript React |         31 |          0 |          3 |         34 |
